cloud,l_min(deg),l_max(deg),b_min(deg),b_max(deg),d_mean(pc),region,co_survey,extended_notes
Taurus,178.0,165.0,-19.0,-12.0,140,Local/Gould Belt,CfA 1.2m (Dame+2001); FCRAO; MWISP,"Archetypal low-mass SF cloud and the benchmark for CO-to-H2 work. M~1.5e4 Msun (Lada+2010: 14964 Msun); extinction-based d=153+/-8 pc (Lombardi+2010), Gaia/Zucker+2019 splits it into subclouds 130-160 pc. No OB stars; ~350 YSOs. Contains B18 B213 L1495 L1521 HL Tau. Strong 12CO self-absorption; 12CO traces the diffuse envelope while 13CO/C18O trace the filaments."
Perseus,163.0,155.0,-27.0,-15.0,300,Local/Gould Belt,CfA 1.2m; COMPLETE FCRAO,"M~1.8e4 Msun (Lada+2010: 18438 Msun). Distance debated: 240+/-13 pc (Lombardi+2010 extinction) vs 294-320 pc (Zucker+2018/2019 Gaia); the cloud is inclined so NGC1333 (~293 pc) is nearer than IC348 (~321 pc). Two active clusters NGC1333 and IC348 plus B1 B5 L1448 L1455. Fully mapped in 12CO/13CO by COMPLETE."
California,170.0,155.0,-11.0,-5.0,470,Local/Gould Belt,CfA 1.2m; NANTEN; MWISP,"Discovered as a distinct entity by Lada+2009. Nearly identical mass and size to Orion A (M~1e5 Msun; Lada+2010: 99930 Msun) but ~15-20x lower SFR - the key counterexample for SF-threshold arguments. d=450+/-23 pc (Lombardi+2010), 470 pc (Zucker+2019). Illuminates NGC1499. Low dense-gas fraction."
Auriga,175.0,158.0,-9.0,-2.0,430,Local/Gould Belt,CfA 1.2m; FCRAO OGS,"Northeastern continuation of the California cloud; often treated as one 'Auriga-California' filament ~80 pc long. Quiescent, low-column, few YSOs. Sits along the Radcliffe Wave. Boundary with California is arbitrary in CO."
Camelopardalis,150.0,144.0,16.0,19.0,213,Local/Gould Belt,CfA 1.2m,"Small high-latitude complex studied together with Ursa Major and Polaris Flare for cirrus IR/mass-surface-density properties. Translucent, essentially no star formation. d~213 pc (Zucker+2019/2020) puts it among the nearest CO-emitting clouds. Named as a distinct feature in Dame+2001."
Polaris Flare,127.0,118.0,20.0,29.0,352,Local high-latitude,CfA 1.2m; IRAM 30m; KOSMA,"Total mass ~5500 Msun, d~350 pc (co-distant with Ursa Major and the Cepheus Flare at ~370 pc). The reference non-star-forming/'quiescent' cloud - no protostars at all, so it is the standard control field for turbulence, filament, and Delta-variance studies (Herschel Gould Belt Survey MC1 field). Low CO excitation; large 12CO/13CO ratio."
Ursa Major,160.0,140.0,34.0,44.0,350,Local high-latitude,CfA 1.2m; Magnani+1996,"One of the four main high-latitude cloud aggregations in the northern Galactic hemisphere (with Polaris Flare, Draco, and L134), per the Magnani+1996 northern high-latitude CO survey. Diffuse/translucent, Av~1, patchy weak 12CO with little 13CO. No star formation."
Draco Cloud,92.0,86.0,36.0,42.0,600,Intermediate-velocity,CfA 1.2m; IRAM 30m; Magnani+1996,"An intermediate-velocity cloud (v_LSR ~ -20 km/s) that nonetheless emits in 12CO - evidence of molecule formation in infalling/shocked gas. Distance is poorly constrained (few hundred pc to ~1 kpc); the 600 pc here is nominal only. Cometary morphology from ram pressure against the Galactic halo. Not star-forming."
Cepheus Flare,120.0,100.0,10.0,20.0,350,Local/Gould Belt,CfA 1.2m; NANTEN; FCRAO,"GMC complex ~100 pc above the plane; ~2e5 Msun of HI, molecular skeleton at 337-370 pc (median 345 pc). Contains L1251 L1228 L1177 L1157 (the L1157 outflow is the canonical chemically active protostellar shock). Modest low-mass SF surveyed by Spitzer Gould Belt II. Distances span 300-450 pc across subclouds."
Cepheus Far / Cep OB3,112.0,105.0,2.0,8.0,800,Local Arm,CfA 1.2m; FCRAO,"Background component of the Cepheus complex, associated with Cep OB3 at 600-800 pc. Contains the Cep OB3b cluster - a rare nearby example of an OB association actively disrupting its natal cloud. The full Cepheus complex (270-1000 pc) totals ~7.2e5 Msun, the most massive GMC in the Zucker+2022 3D sample."
